P,P,C,1B,2B,3B,SS,OF,OF,OF,OF
Jordan Montgomery (18268410),Eduardo Rodriguez (18268409),Tucker Barnhart (18268516),Shohei Ohtani (18268424),Jace Peterson (18268615),Rafael Devers (18268469),Ramon Urias (18268738),Brian Goodwin (18268627),Joey Gallo (18268556),Kyle Schwarber (18268437)
Taijuan Walker (18268404),Max Scherzer (18268394),William Contreras (18268613),Shohei Ohtani (18268424),Jace Peterson (18268615),Harold Castro (18268718),Ramon Urias (18268738),Kyle Schwarber (18268437),Joey Gallo (18268556),Brian Goodwin (18268627)
Zac Gallen (18268400),Max Scherzer (18268394),Pedro Severino (18268720),Shohei Ohtani (18268424),Jace Peterson (18268615),Starlin Castro (18268767),Ramon Urias (18268738),Kyle Schwarber (18268437),Brian Goodwin (18268627),Joey Gallo (18268556)
Zac Gallen (18268400),Sonny Gray (18268408),Riley Adams (18268781),Shohei Ohtani (18268424),Jace Peterson (18268615),Harold Castro (18268718),Bo Bichette (18268442),Joey Gallo (18268556),Kyle Schwarber (18268437),Brian Goodwin (18268627)
Max Scherzer (18268394),Eduardo Rodriguez (18268409),Eric Haase (18268578),Shohei Ohtani (18268424),Ozzie Albies (18268433),Kelvin Gutierrez (18268908),Ramon Urias (18268738),Joey Gallo (18268556),Brian Goodwin (18268627),Jace Peterson (18268615)
Max Scherzer (18268394),Julio Urias (18268397),Riley Adams (18268781),Jared Walsh (18268468),Jace Peterson (18268615),Harold Castro (18268718),Zack Short (18268802),Brian Goodwin (18268627),Shohei Ohtani (18268424),Joey Gallo (18268556)
Eduardo Rodriguez (18268409),Jordan Montgomery (18268410),Michael Perez (18268770),Shohei Ohtani (18268424),Jace Peterson (18268615),Rafael Devers (18268469),Ramon Urias (18268738),Brian Goodwin (18268627),Kyle Schwarber (18268437),Joey Gallo (18268556)
Sonny Gray (18268408),Max Scherzer (18268394),Mike Zunino (18268573),Shohei Ohtani (18268424),Jace Peterson (18268615),Jose Ramirez (18268454),Ramon Urias (18268738),Brian Goodwin (18268627),Joey Gallo (18268556),Robbie Grossman (18268631)
Eduardo Rodriguez (18268409),Sonny Gray (18268408),Yadier Molina (18268508),Shohei Ohtani (18268424),Jace Peterson (18268615),Jose Ramirez (18268454),Ramon Urias (18268738),Kyle Schwarber (18268437),Joey Gallo (18268556),Brian Goodwin (18268627)
Max Scherzer (18268394),Julio Urias (18268397),Riley Adams (18268781),Shohei Ohtani (18268424),Jace Peterson (18268615),Ke'Bryan Hayes (18268500),Zack Short (18268802),Joey Gallo (18268556),Brian Goodwin (18268627),Myles Straw (18268684)
Eduardo Rodriguez (18268409),Taijuan Walker (18268404),Riley Adams (18268781),Shohei Ohtani (18268424),Jace Peterson (18268615),Yandy Diaz (18268632),Trea Turner (18268426),Brian Goodwin (18268627),Kyle Schwarber (18268437),Joey Gallo (18268556)
Max Scherzer (18268394),Zac Gallen (18268400),Riley Adams (18268781),Shohei Ohtani (18268424),Nick Solak (18268630),Jose Ramirez (18268454),Ramon Urias (18268738),Jace Peterson (18268615),Joey Gallo (18268556),Brian Goodwin (18268627)
Sonny Gray (18268408),Zac Gallen (18268400),Jake Rogers (18268695),Shohei Ohtani (18268424),Jace Peterson (18268615),Josh Donaldson (18268444),Ramon Urias (18268738),Kyle Schwarber (18268437),Brian Goodwin (18268627),Joey Gallo (18268556)
Max Scherzer (18268394),Eduardo Rodriguez (18268409),Martin Maldonado (18268967),Shohei Ohtani (18268424),Jace Peterson (18268615),Yoan Moncada (18268474),Ramon Urias (18268738),Joey Gallo (18268556),Brian Goodwin (18268627),Yordan Alvarez (18268452)
Max Scherzer (18268394),Kyle Gibson (18268406),Riley Adams (18268781),Shohei Ohtani (18268424),Jace Peterson (18268615),Harold Castro (18268718),Carlos Correa (18268455),Joey Gallo (18268556),Alex Verdugo (18268585),Brian Goodwin (18268627)
Max Scherzer (18268394),Taijuan Walker (18268404),Jorge Alfaro (18268712),Shohei Ohtani (18268424),Jace Peterson (18268615),Harold Castro (18268718),Zack Short (18268802),Brian Goodwin (18268627),Joey Gallo (18268556),Kyle Schwarber (18268437)
Eduardo Rodriguez (18268409),Julio Urias (18268397),Tucker Barnhart (18268516),Shohei Ohtani (18268424),Jace Peterson (18268615),Rafael Devers (18268469),Ramon Urias (18268738),Brian Goodwin (18268627),Joey Gallo (18268556),Jake Fraley (18268677)
Max Scherzer (18268394),Sonny Gray (18268408),Riley Adams (18268781),Shohei Ohtani (18268424),Jace Peterson (18268615),Abraham Toro (18268689),Bo Bichette (18268442),Joey Gallo (18268556),Brian Goodwin (18268627),George Springer (18268510)
Eduardo Rodriguez (18268409),Max Scherzer (18268394),Eric Haase (18268578),Shohei Ohtani (18268424),Ozzie Albies (18268433),Harold Castro (18268718),Kevin Newman (18268714),Brian Goodwin (18268627),Jace Peterson (18268615),Joey Gallo (18268556)
Taijuan Walker (18268404),Max Scherzer (18268394),Austin Hedges (18268797),Shohei Ohtani (18268424),Jace Peterson (18268615),Austin Riley (18268511),Zack Short (18268802),Joey Gallo (18268556),Brian Goodwin (18268627),Kyle Schwarber (18268437)
Eduardo Rodriguez (18268409),Lance Lynn (18268395),Jake Rogers (18268695),Keston Hiura (18268602),Jace Peterson (18268615),Rafael Devers (18268469),Willy Adames (18268490),Joey Gallo (18268556),Kyle Schwarber (18268437),Brian Goodwin (18268627)
Eduardo Rodriguez (18268409),Max Scherzer (18268394),Tucker Barnhart (18268516),Shohei Ohtani (18268424),Jace Peterson (18268615),Austin Riley (18268511),Ramon Urias (18268738),Joey Gallo (18268556),Brian Goodwin (18268627),Jake Fraley (18268677)
Eduardo Rodriguez (18268409),Max Scherzer (18268394),Tucker Barnhart (18268516),Shohei Ohtani (18268424),Jace Peterson (18268615),Austin Riley (18268511),Ramon Urias (18268738),Joey Gallo (18268556),Jake Fraley (18268677),Brian Goodwin (18268627)
Zac Gallen (18268400),Eduardo Rodriguez (18268409),Jorge Alfaro (18268712),Shohei Ohtani (18268424),Jace Peterson (18268615),Jose Ramirez (18268454),Harold Castro (18268718),Kyle Schwarber (18268437),Joey Gallo (18268556),Brian Goodwin (18268627)
Max Scherzer (18268394),Eduardo Rodriguez (18268409),Jake Rogers (18268695),Shohei Ohtani (18268424),Jace Peterson (18268615),Patrick Wisdom (18268536),Bo Bichette (18268442),Joey Gallo (18268556),Myles Straw (18268684),Brian Goodwin (18268627)
Jordan Montgomery (18268410),Zac Gallen (18268400),Jake Rogers (18268695),Shohei Ohtani (18268424),Jace Peterson (18268615),Josh Donaldson (18268444),J.P. Crawford (18268629),Kyle Schwarber (18268437),Joey Gallo (18268556),Brian Goodwin (18268627)
Max Scherzer (18268394),Kyle Gibson (18268406),Ryan Jeffers (18268550),Shohei Ohtani (18268424),Jace Peterson (18268615),Harold Castro (18268718),Ramon Urias (18268738),Cedric Mullins (18268523),Brian Goodwin (18268627),Joey Gallo (18268556)
Kyle Gibson (18268406),Max Scherzer (18268394),Ryan Jeffers (18268550),Shohei Ohtani (18268424),Jace Peterson (18268615),Harold Castro (18268718),Ramon Urias (18268738),Cedric Mullins (18268523),Joey Gallo (18268556),Brian Goodwin (18268627)
Julio Urias (18268397),Max Scherzer (18268394),Martin Maldonado (18268967),Shohei Ohtani (18268424),Jace Peterson (18268615),Luis Urias (18268450),Zack Short (18268802),Joey Gallo (18268556),Kike Hernandez (18268566),Brian Goodwin (18268627)
Max Scherzer (18268394),Eduardo Rodriguez (18268409),Jake Rogers (18268695),Shohei Ohtani (18268424),Jonathan India (18268509),Matt Chapman (18268439),Zack Short (18268802),Jace Peterson (18268615),Joey Gallo (18268556),Brian Goodwin (18268627)
Zac Gallen (18268400),Julio Urias (18268397),Jake Rogers (18268695),Shohei Ohtani (18268424),Jace Peterson (18268615),Rafael Devers (18268469),J.P. Crawford (18268629),Brian Goodwin (18268627),Joey Gallo (18268556),Jake Fraley (18268677)
Max Scherzer (18268394),Eduardo Rodriguez (18268409),Jake Rogers (18268695),Shohei Ohtani (18268424),Jace Peterson (18268615),Jose Ramirez (18268454),Ramon Urias (18268738),Joey Gallo (18268556),Eli White (18268776),Brian Goodwin (18268627)
Lance Lynn (18268395),Max Scherzer (18268394),Riley Adams (18268781),Shohei Ohtani (18268424),Jace Peterson (18268615),Eduardo Escobar (18268476),J.P. Crawford (18268629),Brian Goodwin (18268627),Taylor Trammell (18268779),Joey Gallo (18268556)
Julio Urias (18268397),Eduardo Rodriguez (18268409),Salvador Perez (18268458),Shohei Ohtani (18268424),Jace Peterson (18268615),Jonathan Villar (18268861),J.P. Crawford (18268629),Joey Gallo (18268556),Brian Goodwin (18268627),Nick Castellanos (18268472)
Sonny Gray (18268408),Julio Urias (18268397),Yan Gomes (18268611),Shohei Ohtani (18268424),Jace Peterson (18268615),Harold Castro (18268718),Xander Bogaerts (18268470),J.D. Martinez (18268465),Joey Gallo (18268556),Brian Goodwin (18268627)
Sonny Gray (18268408),Jordan Montgomery (18268410),Riley Adams (18268781),Shohei Ohtani (18268424),Jace Peterson (18268615),Jose Ramirez (18268454),Elvis Andrus (18268713),Brian Goodwin (18268627),Kyle Schwarber (18268437),Joey Gallo (18268556)
Logan Gilbert (18268415),Eduardo Rodriguez (18268409),Christian Vazquez (18268600),Shohei Ohtani (18268424),Jace Peterson (18268615),Rafael Devers (18268469),Ramon Urias (18268738),Brian Goodwin (18268627),Kyle Schwarber (18268437),Joey Gallo (18268556)
Eduardo Rodriguez (18268409),Zac Gallen (18268400),Mike Zunino (18268573),Shohei Ohtani (18268424),Jace Peterson (18268615),Eric Sogard (18268751),Bo Bichette (18268442),Brian Goodwin (18268627),Joey Gallo (18268556),Kyle Schwarber (18268437)
Zac Gallen (18268400),Max Scherzer (18268394),Martin Maldonado (18268967),Shohei Ohtani (18268424),Jace Peterson (18268615),Jeimer Candelario (18268597),Ramon Urias (18268738),Joey Gallo (18268556),Brian Goodwin (18268627),Yordan Alvarez (18268452)
Kyle Gibson (18268406),Eduardo Rodriguez (18268409),Yan Gomes (18268611),Shohei Ohtani (18268424),Jace Peterson (18268615),Luis Arraez (18268564),Ramon Urias (18268738),Joey Gallo (18268556),Kyle Schwarber (18268437),Brian Goodwin (18268627)
Taijuan Walker (18268404),Julio Urias (18268397),Mike Zunino (18268573),Shohei Ohtani (18268424),Jace Peterson (18268615),Jose Ramirez (18268454),J.P. Crawford (18268629),Michael Brantley (18268540),Brian Goodwin (18268627),Joey Gallo (18268556)
Kyle Gibson (18268406),Zac Gallen (18268400),Riley Adams (18268781),Shohei Ohtani (18268424),Jace Peterson (18268615),Rafael Devers (18268469),Carlos Correa (18268455),Joey Gallo (18268556),Brian Goodwin (18268627),Alex Verdugo (18268585)
Lance Lynn (18268395),Jordan Montgomery (18268410),Riley Adams (18268781),Joey Votto (18268527),Jace Peterson (18268615),Rafael Devers (18268469),Ramon Urias (18268738),Joey Gallo (18268556),Brian Goodwin (18268627),Kyle Schwarber (18268437)
Max Scherzer (18268394),Julio Urias (18268397),Riley Adams (18268781),Shohei Ohtani (18268424),Jace Peterson (18268615),Jonathan Villar (18268861),Elvis Andrus (18268713),Brian Goodwin (18268627),Mitch Haniger (18268503),Joey Gallo (18268556)
Julio Urias (18268397),Casey Mize (18268398),Riley Adams (18268781),Shohei Ohtani (18268424),Jace Peterson (18268615),Rafael Devers (18268469),Ramon Urias (18268738),Robbie Grossman (18268631),Joey Gallo (18268556),Brian Goodwin (18268627)
Max Scherzer (18268394),Eduardo Rodriguez (18268409),Ryan Jeffers (18268550),Shohei Ohtani (18268424),Jace Peterson (18268615),Yoan Moncada (18268474),Ramon Urias (18268738),Brian Goodwin (18268627),Robbie Grossman (18268631),Joey Gallo (18268556)
Max Scherzer (18268394),Julio Urias (18268397),Mike Zunino (18268573),Alex Kirilloff (18268554),Jace Peterson (18268615),Eric Sogard (18268751),Ramon Urias (18268738),Joey Gallo (18268556),Shohei Ohtani (18268424),Brian Goodwin (18268627)
Julio Urias (18268397),Max Scherzer (18268394),Riley Adams (18268781),Bobby Bradley (18268530),Jace Peterson (18268615),Harold Castro (18268718),Kevin Newman (18268714),Brian Goodwin (18268627),Joey Gallo (18268556),Shohei Ohtani (18268424)
Max Scherzer (18268394),Julio Urias (18268397),Jake Rogers (18268695),Josh Bell (18268497),Jace Peterson (18268615),Abraham Toro (18268689),Ramon Urias (18268738),Brian Goodwin (18268627),Shohei Ohtani (18268424),Joey Gallo (18268556)
Max Scherzer (18268394),Eduardo Rodriguez (18268409),Yan Gomes (18268611),Shohei Ohtani (18268424),Jace Peterson (18268615),Jonathan Villar (18268861),Ramon Urias (18268738),Brian Goodwin (18268627),Joey Gallo (18268556),Christian Yelich (18268447)
Eduardo Rodriguez (18268409),Julio Urias (18268397),Yasmani Grandal (18268471),Shohei Ohtani (18268424),Jace Peterson (18268615),Jose Ramirez (18268454),J.P. Crawford (18268629),Eddie Rosario (18268607),Joey Gallo (18268556),Brian Goodwin (18268627)
Max Scherzer (18268394),Julio Urias (18268397),Jake Rogers (18268695),Shohei Ohtani (18268424),Jace Peterson (18268615),Ernie Clement (18268810),Ramon Urias (18268738),Joey Gallo (18268556),Brian Goodwin (18268627),Jake Fraley (18268677)
Max Scherzer (18268394),Eduardo Rodriguez (18268409),Austin Hedges (18268797),Shohei Ohtani (18268424),Jace Peterson (18268615),Jose Ramirez (18268454),Ramon Urias (18268738),Brian Goodwin (18268627),Alex Verdugo (18268585),Joey Gallo (18268556)
Julio Urias (18268397),Zac Gallen (18268400),Jake Rogers (18268695),Shohei Ohtani (18268424),Josh Rojas (18268641),Jose Ramirez (18268454),Ramon Urias (18268738),Joey Gallo (18268556),Brian Goodwin (18268627),Jace Peterson (18268615)
Julio Urias (18268397),Eduardo Rodriguez (18268409),Martin Maldonado (18268967),Shohei Ohtani (18268424),Dylan Moore (18268730),Matt Chapman (18268439),Ramon Urias (18268738),Joey Gallo (18268556),Jace Peterson (18268615),Brian Goodwin (18268627)
Max Scherzer (18268394),Jordan Montgomery (18268410),Kyle Higashioka (18268587),Shohei Ohtani (18268424),Jace Peterson (18268615),Austin Riley (18268511),Ramon Urias (18268738),Starling Marte (18268521),Brian Goodwin (18268627),Joey Gallo (18268556)
Jordan Montgomery (18268410),Lance Lynn (18268395),Omar Narvaez (18268486),Shohei Ohtani (18268424),Jace Peterson (18268615),Starlin Castro (18268767),Harold Castro (18268718),Brian Goodwin (18268627),Kyle Schwarber (18268437),Joey Gallo (18268556)
Jordan Montgomery (18268410),Lance Lynn (18268395),Ryan Jeffers (18268550),Bobby Bradley (18268530),Jace Peterson (18268615),Rafael Devers (18268469),Ramon Urias (18268738),Brian Goodwin (18268627),Joey Gallo (18268556),Kyle Schwarber (18268437)
Jordan Montgomery (18268410),Julio Urias (18268397),Omar Narvaez (18268486),Shohei Ohtani (18268424),Jace Peterson (18268615),Luis Urias (18268450),Ramon Urias (18268738),Joey Gallo (18268556),Brian Goodwin (18268627),Alex Kirilloff (18268554)
Zac Gallen (18268400),Max Scherzer (18268394),Austin Hedges (18268797),Shohei Ohtani (18268424),Jace Peterson (18268615),Jose Ramirez (18268454),Ramon Urias (18268738),Joey Gallo (18268556),Brian Goodwin (18268627),Robbie Grossman (18268631)
Alex Wood (18268401),Julio Urias (18268397),Riley Adams (18268781),Shohei Ohtani (18268424),Jace Peterson (18268615),Rafael Devers (18268469),Ramon Urias (18268738),Akil Baddoo (18268657),Brian Goodwin (18268627),Joey Gallo (18268556)
Julio Urias (18268397),Sonny Gray (18268408),Jake Rogers (18268695),Jonathan Schoop (18268445),Jace Peterson (18268615),Eduardo Escobar (18268476),Ramon Urias (18268738),Brian Goodwin (18268627),Shohei Ohtani (18268424),Joey Gallo (18268556)
Eduardo Rodriguez (18268409),Zac Gallen (18268400),Austin Hedges (18268797),Shohei Ohtani (18268424),Ozzie Albies (18268433),Harold Castro (18268718),Carlos Correa (18268455),Brian Goodwin (18268627),Joey Gallo (18268556),Jace Peterson (18268615)
Kyle Gibson (18268406),Max Scherzer (18268394),Jake Rogers (18268695),Shohei Ohtani (18268424),Jace Peterson (18268615),Yoan Moncada (18268474),Ramon Urias (18268738),Joey Gallo (18268556),Adolis Garcia (18268532),Brian Goodwin (18268627)
Zac Gallen (18268400),Eduardo Rodriguez (18268409),Austin Hedges (18268797),Shohei Ohtani (18268424),Jace Peterson (18268615),Luis Urias (18268450),Harold Castro (18268718),Kyle Schwarber (18268437),Brian Goodwin (18268627),Joey Gallo (18268556)
Max Scherzer (18268394),Eduardo Rodriguez (18268409),Yadier Molina (18268508),Shohei Ohtani (18268424),Jace Peterson (18268615),Eduardo Escobar (18268476),Ramon Urias (18268738),Josh Rojas (18268641),Brian Goodwin (18268627),Joey Gallo (18268556)
Julio Urias (18268397),Max Scherzer (18268394),Pedro Severino (18268720),Shohei Ohtani (18268424),Jace Peterson (18268615),Abraham Toro (18268689),Ramon Urias (18268738),Brian Goodwin (18268627),Austin Hays (18268664),Joey Gallo (18268556)
JT Brubaker (18268412),Max Scherzer (18268394),Kyle Higashioka (18268587),Shohei Ohtani (18268424),Jace Peterson (18268615),Harold Castro (18268718),Ramon Urias (18268738),Brian Goodwin (18268627),Kyle Schwarber (18268437),Joey Gallo (18268556)
Max Scherzer (18268394),Julio Urias (18268397),Ryan Jeffers (18268550),Shohei Ohtani (18268424),Jace Peterson (18268615),Harold Castro (18268718),Ramon Urias (18268738),Joey Gallo (18268556),Josh Reddick (18268793),Brian Goodwin (18268627)
Eduardo Rodriguez (18268409),Julio Urias (18268397),Omar Narvaez (18268486),Shohei Ohtani (18268424),Jace Peterson (18268615),Jose Ramirez (18268454),Ramon Urias (18268738),Brian Goodwin (18268627),Joey Gallo (18268556),Harold Ramirez (18268724)
Max Scherzer (18268394),Eduardo Rodriguez (18268409),James McCann (18268569),Shohei Ohtani (18268424),Jace Peterson (18268615),Austin Riley (18268511),Ramon Urias (18268738),Joey Gallo (18268556),Brian Goodwin (18268627),Eddie Rosario (18268607)
Max Scherzer (18268394),Eduardo Rodriguez (18268409),Yan Gomes (18268611),Shohei Ohtani (18268424),Jace Peterson (18268615),Jose Ramirez (18268454),Ramon Urias (18268738),Brett Gardner (18268608),Joey Gallo (18268556),Brian Goodwin (18268627)
Kyle Gibson (18268406),Julio Urias (18268397),Riley Adams (18268781),Shohei Ohtani (18268424),Jace Peterson (18268615),Harold Castro (18268718),Carlos Correa (18268455),Joey Gallo (18268556),Alex Verdugo (18268585),Brian Goodwin (18268627)
Zac Gallen (18268400),Max Scherzer (18268394),Riley Adams (18268781),Shohei Ohtani (18268424),Jace Peterson (18268615),Harold Castro (18268718),Miguel Rojas (18268649),Robbie Grossman (18268631),Brian Goodwin (18268627),Joey Gallo (18268556)
